Product Name,Shipment,SKU,Qty,Unit cost (CAD),Shipping cost (CAD),Total cost (CAD),Unit cost (HKD),Shipping cost (HKD),Total cost (HKD)
Wash-free air brush needles (0.5 mm) × 50 pieces,,AB-D05,1,1.71,0.46,2.17,8.61,2.33,10.94
Stedi DMM-01 White,,DMM-01,2,1.05,0.57,2.67,5.32,2.86,13.5
Stedi DMM-02 Black,,DMM-02,4,1.05,1.13,5.33,5.32,5.71,26.99
Stedi DMM-09 Mecha Red,,DMM-09,2,1.05,0.57,2.67,5.32,2.86,13.5
Stedi DMM-20 Metallic Gold,,DMM-20,6,1.48,2.39,11.27,7.46,12.08,56.84
Stedi DMM-21 Metallic Sliver,,DMM-21,4,1.48,1.59,7.51,7.46,8.05,37.89
Stedi DMM-24 Metallic Yellow,,DMM-24,3,1.48,1.2,5.64,7.46,6.04,28.42
Stedi DMM-25 Metallic Green,,DMM-25,3,1.48,1.2,5.64,7.46,6.04,28.42
Stedi DMM-28 Metallic Red,,DMM-28,4,1.48,1.59,7.51,7.46,8.05,37.89
Stedi DMM-30 Metallic Blue,,DMM-30,5,1.48,1.99,9.39,7.46,10.06,47.36
Dspiae Extra Thin Cement (40ml),,ETC-01,5,3.05,4.11,19.36,15.4,20.74,97.74
Dspiae Slow Curing Cement,,ETC-02,6,3.28,5.3,24.98,16.55,26.76,126.06
Stedi MG-01 Adhesives (Low flow),,MG-01,2,2.48,1.34,6.3,12.53,6.74,31.8
Dspiae Soft Tipped Markers - Pure Black (MK-01),,MK-01,5,1.15,1.55,7.3,5.8,7.82,36.82
Dspiae Soft Tipped Markers - White (MK-02),,MK-02,6,1.15,1.86,8.76,5.8,9.38,44.18
Dspiae Soft Tipped Markers - Grey (MK-03),,MK-03,1,1.15,0.31,1.46,5.8,1.56,7.36
Dspiae Soft Tipped Markers - Mecha Red (MK-04),,MK-04,3,1.15,0.93,4.38,5.8,4.69,22.09
Dspiae Soft Tipped Markers - Mecha Blue (MK-05),,MK-05,1,1.15,0.31,1.46,5.8,1.56,7.36
Dspiae Soft Tipped Markers - Mecha Green (MK-06),,MK-06,1,1.15,0.31,1.46,5.8,1.56,7.36
Dspiae Soft Tipped Markers - Mecha Yellow (MK-07),,MK-07,6,1.15,1.86,8.76,5.8,9.38,44.18
Dspiae Soft Tipped Markers - Mecha Grey (MK-08),,MK-08,3,1.22,0.99,4.65,6.16,4.98,23.46
Dspiae Soft Tipped Markers - Purple (MK-09),,MK-09,3,1.15,0.93,4.38,5.8,4.69,22.09
Dspiae Soft Tipped Markers - Pink (MK-10),,MK-10,1,1.13,0.3,1.43,5.69,1.54,7.23
Dspiae Soft Tipped Markers - Sky Blue (MK-11),,MK-11,2,1.15,0.62,2.92,5.8,3.13,14.73
Dspiae Soft Tipped Markers - Armored Green (MK-12),,MK-12,1,1.15,0.31,1.46,5.8,1.56,7.36
Dspiae Soft Tipped Markers - Fluorescent Red (MKF-02),,MKF-02,1,1.15,0.31,1.46,5.8,1.56,7.36
Dspiae Soft Tipped Markers - Fluorescent Yellow (MKF-03),,MKF-03,1,1.15,0.31,1.46,5.8,1.56,7.36
Dspiae Soft Tipped Markers - Fluorescent Pink (MKF-07),,MKF-07,1,1.15,0.31,1.46,5.8,1.56,7.36
Dspiae Soft Tipped Markers - Metallic Black (MKM-01),,MKM-01,20,1.35,7.27,34.27,6.84,36.71,173.51
Dspiae Soft Tipped Markers - Metallic Silver (MKM-02),,MKM-02,20,1.35,7.27,34.27,6.84,36.71,173.51
Dspiae Soft Tipped Markers - Metallic Red (MKM-03),,MKM-03,20,1.35,7.27,34.27,6.84,36.71,173.51
Dspiae Soft Tipped Markers - Metallic Blue (MKM-04),,MKM-04,19,1.35,6.91,32.56,6.84,34.88,164.84
Dspiae Soft Tipped Markers - Metallic Green (MKM-05),,MKM-05,20,1.35,7.27,34.27,6.84,36.71,173.51
Dspiae Soft Tipped Markers - Metallic Yellow (MKM-06),,MKM-06,20,1.35,7.27,34.27,6.84,36.71,173.51
Dspiae Soft Tipped Markers - Gun Gray (MKM-07),,MKM-07,20,1.35,7.27,34.27,6.84,36.71,173.51
Dspiae Soft Tipped Markers - Metallic Violet (MKM-08),,MKM-08,15,1.35,5.45,25.7,6.84,27.54,130.14
Seepage line wiper pen (Red),,MP-02R,1,3.5,0.94,4.44,17.69,4.76,22.45
Stedi Panel Liner MP-11 Dark Grey,,MP-11,2,2.97,1.6,7.54,14.99,8.08,38.06
Stedi Panel Liner MP-12 Light Grey,,MP-12,7,2.97,5.6,26.39,14.99,28.27,133.2
Stedi Panel Liner MP-13 Black,,MP-13,5,2.97,4,18.85,14.99,20.19,95.14
Stedi Panel Liner MP-22 Fluorescent Blue,,MP-22,4,2.56,2.76,13,12.95,13.92,65.72
Stedi Panel Liner MP-24 Fluorescent Red,,MP-24,3,2.97,2.4,11.31,14.99,12.12,57.09
Stedi Panel Liner MP-28 Fluorescent White,,MP-28,4,2.56,2.76,13,12.95,13.92,65.72
Scribing Tape 3mm,Air,MS-03,8,1.13,2.43,11.47,5.69,12.29,57.81
Beginner's single blade nipper,Air,MS-104,30,6.04,48.78,229.98,30.49,246.4,1161.1
Double-edged modeling nipper,,MS-112,2,11.02,5.93,27.97,55.65,29.97,141.27
Stedi Tweezers (Curve),Air,MS-12,6,3.31,5.35,25.21,16.7,27.01,127.21
Stedi Tweezers (Point),,MS-14,1,3.31,0.89,4.2,16.7,4.5,21.2
