Vendor,"Product Name",SKU,Qty,"Unit cost (CAD)","Shipping cost (CAD)","Total cost (CAD)","Unit cost (HKD)","Shipping cost (HKD)","Total cost (HKD)"
Dspiae,"Wash-free air brush needles (0.5 mm) × 50 pieces",AB-D05,1,1.71,0.46,2.17,8.61,2.32,10.93
Dspiae,"Stedi DMM-01 White",DMM-01,2,1.05,0.28,1.33,5.32,1.41,6.73
Dspiae,"Stedi DMM-02 Black",DMM-02,4,1.05,0.28,1.33,5.32,1.41,6.73
Dspiae,"Stedi DMM-09 Mecha Red",DMM-09,2,1.05,0.28,1.33,5.32,1.41,6.73
Dspiae,"Stedi DMM-20 Metallic Gold",DMM-20,6,1.48,0.40,1.88,7.46,2.02,9.48
Dspiae,"Stedi DMM-21 Metallic Sliver",DMM-21,4,1.48,0.40,1.88,7.46,2.02,9.48
Dspiae,"Stedi DMM-24 Metallic Yellow",DMM-24,3,1.48,0.40,1.88,7.46,2.02,9.48
Dspiae,"Stedi DMM-25 Metallic Green",DMM-25,3,1.48,0.40,1.88,7.46,2.02,9.48
Dspiae,"Stedi DMM-28 Metallic Red",DMM-28,4,1.48,0.40,1.88,7.46,2.02,9.48
Dspiae,"Stedi DMM-30 Metallic Blue",DMM-30,5,1.48,0.40,1.88,7.46,2.02,9.48
Dspiae,"Dspiae Extra Thin Cement (40ml)",ETC-01,5,3.05,0.82,3.87,15.40,4.14,19.54
Dspiae,"Dspiae Slow Curing Cement",ETC-02,6,3.28,0.88,4.16,16.55,4.44,20.99
Dspiae,"Stedi MG-01 Adhesives (Low flow)",MG-01,2,2.48,0.67,3.15,12.53,3.38,15.91
Dspiae,"Dspiae Soft Tipped Markers - Pure Black (MK-01)",MK-01,5,1.15,0.31,1.46,5.80,1.57,7.37
Dspiae,"Dspiae Soft Tipped Markers - White (MK-02)",MK-02,6,1.15,0.31,1.46,5.80,1.57,7.37
Dspiae,"Dspiae Soft Tipped Markers - Grey (MK-03)",MK-03,1,1.15,0.31,1.46,5.80,1.57,7.37
Dspiae,"Dspiae Soft Tipped Markers - Mecha Red (MK-04)",MK-04,3,1.15,0.31,1.46,5.80,1.57,7.37
Dspiae,"Dspiae Soft Tipped Markers - Mecha Blue (MK-05)",MK-05,1,1.15,0.31,1.46,5.80,1.57,7.37
Dspiae,"Dspiae Soft Tipped Markers - Mecha Green (MK-06)",MK-06,1,1.15,0.31,1.46,5.80,1.57,7.37
Dspiae,"Dspiae Soft Tipped Markers - Mecha Yellow (MK-07)",MK-07,6,1.15,0.31,1.46,5.80,1.57,7.37
Dspiae,"Dspiae Soft Tipped Markers - Mecha Grey (MK-08)",MK-08,3,1.22,0.33,1.55,6.16,1.67,7.83
Dspiae,"Dspiae Soft Tipped Markers - Purple (MK-09)",MK-09,3,1.15,0.31,1.46,5.80,1.57,7.37
Dspiae,"Dspiae Soft Tipped Markers - Pink (MK-10)",MK-10,1,1.13,0.30,1.43,5.69,1.52,7.21
Dspiae,"Dspiae Soft Tipped Markers - Sky Blue (MK-11)",MK-11,2,1.15,0.31,1.46,5.80,1.57,7.37
Dspiae,"Dspiae Soft Tipped Markers - Armored Green (MK-12)",MK-12,1,1.15,0.31,1.46,5.80,1.57,7.37
Dspiae,"Dspiae Soft Tipped Markers - Fluorescent Red (MKF-02)",MKF-02,1,1.15,0.31,1.46,5.80,1.57,7.37
Dspiae,"Dspiae Soft Tipped Markers - Fluorescent Yellow (MKF-03)",MKF-03,1,1.15,0.31,1.46,5.80,1.57,7.37
Dspiae,"Dspiae Soft Tipped Markers - Fluorescent Pink (MKF-07)",MKF-07,1,1.15,0.31,1.46,5.80,1.57,7.37
Dspiae,"Dspiae Soft Tipped Markers - Metallic Black (MKM-01)",MKM-01,20,1.35,0.36,1.71,6.84,1.82,8.66
Dspiae,"Dspiae Soft Tipped Markers - Metallic Silver (MKM-02)",MKM-02,20,1.35,0.36,1.71,6.84,1.82,8.66
Dspiae,"Dspiae Soft Tipped Markers - Metallic Red (MKM-03)",MKM-03,20,1.35,0.36,1.71,6.84,1.82,8.66
Dspiae,"Dspiae Soft Tipped Markers - Metallic Blue (MKM-04)",MKM-04,19,1.35,0.36,1.71,6.84,1.82,8.66
Dspiae,"Dspiae Soft Tipped Markers - Metallic Green (MKM-05)",MKM-05,20,1.35,0.36,1.71,6.84,1.82,8.66
Dspiae,"Dspiae Soft Tipped Markers - Metallic Yellow (MKM-06)",MKM-06,20,1.35,0.36,1.71,6.84,1.82,8.66
Dspiae,"Dspiae Soft Tipped Markers - Gun Gray (MKM-07)",MKM-07,20,1.35,0.36,1.71,6.84,1.82,8.66
Dspiae,"Dspiae Soft Tipped Markers - Metallic Violet (MKM-08)",MKM-08,15,1.35,0.36,1.71,6.84,1.82,8.66
Dspiae,"Seepage line wiper pen (Red)",MP-02R,1,3.50,0.94,4.44,17.69,4.75,22.44
Dspiae,"Stedi Panel Liner MP-11 Dark Grey",MP-11,2,2.97,0.80,3.77,14.99,4.04,19.03
Dspiae,"Stedi Panel Liner MP-12 Light Grey",MP-12,7,2.97,0.80,3.77,14.99,4.04,19.03
Dspiae,"Stedi Panel Liner MP-13 Black",MP-13,5,2.97,0.80,3.77,14.99,4.04,19.03
Dspiae,"Stedi Panel Liner MP-22 Fluorescent Blue",MP-22,4,2.56,0.69,3.25,12.95,3.49,16.44
Dspiae,"Stedi Panel Liner MP-24 Fluorescent Red",MP-24,3,2.97,0.80,3.77,14.99,4.04,19.03
Dspiae,"Stedi Panel Liner MP-28 Fluorescent White",MP-28,4,2.56,0.69,3.25,12.95,3.49,16.44
Dspiae,"Scribing Tape 3mm",MS-03,8,1.13,0.30,1.43,5.69,1.52,7.21
Dspiae,"Beginner's single blade nipper",MS-104,30,6.04,1.63,7.67,30.49,8.23,38.72
Dspiae,"Double-edged modeling nipper",MS-112,2,11.02,2.97,13.99,55.65,15.00,70.65
Dspiae,"Stedi Tweezers (Curve)",MS-12,6,3.31,0.89,4.20,16.70,4.50,21.20
